"ENST00000475663.2",1.93,0.83,0,0.9,1.97,0,0.9,2.92,3.53,0,0,0,0,0,0.98,1.22
"ENST00000428131.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENST00000432012.1",0.82,1.49,0.22,1.18,0.59,0.78,0.41,0.16,1.93,1.14,0.99,0.8,0.58,1.33,0.66,0.23
"ENST00000373449.2",774.14,712.73,913.21,725.77,749.73,752.53,724.65,900.41,666.01,647.68,682.58,726.23,691.34,678.3,728.26,500.67
"ENST00000548033.1",383.43,432.79,94.5,180.87,353.77,94.94,252.32,169.09,153.74,262.28,118.31,301.25,155.69,205.74,182.2,205.27
"ENST00000482191.1",31,27.4,13.28,21.05,39.27,15.61,30.05,14.82,28.49,45.78,12.26,38.21,29.66,32.25,19.6,19.16
"ENST00000491241.1",18.52,15.82,6.73,12.08,25.82,7.8,17.6,12.37,14.37,19.33,16.01,19.21,14.18,17.61,9.83,5.45
"ENST00000467905.1",0,72.35,0,21.91,181.41,23.97,71.57,41.32,0,142.49,0,184.14,106.91,116.91,108.33,91.55
"ENST00000480134.1",27.71,64.49,72.32,12.15,56.93,62.14,69.43,62.54,46.24,65.48,48.85,40.25,80.54,40.8,27.28,28.5
"ENST00000354858.6",628.62,518.37,633.84,429.56,649.93,561.81,809.64,571.45,577.42,354.98,466.63,433.23,590.32,563.26,519.09,608.71
"ENST00000550338.1",49.38,58.71,30.49,72.46,58.47,49.34,37.41,31.84,30.89,25.57,45.21,41.48,29.08,39.28,23.56,31.46
"ENST00000469238.1",2.18,1.73,0,5.78,9.42,0,0,3.34,0,4.92,0,5.09,0,2.04,0,4.35
"ENST00000466029.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENST00000487289.1",5.13,4.23,2.08,5.52,5.14,2.56,2.88,8.59,4.48,8.15,2.79,3.55,4.18,2.25,4.79,9.65
"ENST00000548559.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENST00000551979.1",0,0,0,0,0,0,0,0,0,1.62,1.86,0,1.7,1.35,0,5.42
"ENST00000356634.3",335.87,388.99,429.32,392.41,370.62,331.71,421.74,281.56,264.55,399.6,221.61,532.98,472.86,375.72,347.75,233.67
